,Date,Open,Low,High,Close,Volume
5309,2020-12-07,369.02,367.72,369.62,369.09,48944269.0
5310,2020-12-08,367.72,367.67,370.78,370.17,42458859.0
5311,2020-12-09,370.88,365.95,371.05,366.85,74098312.0
5312,2020-12-10,365.37,364.43,367.86,366.73,57735353.0
5313,2020-12-11,364.9,363.26,366.7402,366.3,57698614.0
5314,2020-12-14,368.64,364.47,369.8,364.66,69216174.0
5315,2020-12-15,367.4,365.92,369.59,369.59,64071099.0
5316,2020-12-16,369.82,368.8676,371.16,370.17,58420517.0
5317,2020-12-17,371.94,371.05,372.46,372.24,64119472.0
5318,2020-12-18,370.97,367.02,371.15,369.18,136542328.0
5319,2020-12-21,364.97,362.03,378.46,367.86,96386745.0
5320,2020-12-22,368.21,366.03,368.3317,367.24,48388462.0
5321,2020-12-23,368.28,367.2172,369.62,367.57,46201402.0
5322,2020-12-24,368.08,367.45,369.03,369.0,26457853.0
5323,2020-12-28,371.74,371.07,372.59,372.17,37932709.0
5324,2020-12-29,373.81,370.83,374.0,371.46,53680451.0
5325,2020-12-30,372.34,371.57,373.1,371.99,49455259.0
5326,2020-12-31,371.78,371.232,374.66,373.88,78520702.0
5327,2021-01-04,375.31,364.82,375.45,368.79,110210810.0
5328,2021-01-05,368.1,368.05,372.5,371.33,66426229.0
5329,2021-01-06,369.71,369.12,376.98,373.55,107997675.0
5330,2021-01-07,376.1,375.91,379.9,379.1,68766812.0
5331,2021-01-08,380.59,377.1,381.49,381.26,71677208.0
5332,2021-01-11,377.85,377.7189,380.58,378.69,51176719.0
5333,2021-01-12,378.89,376.36,379.86,378.77,51440114.0
5334,2021-01-13,378.69,377.85,380.86,379.79,45303619.0
5335,2021-01-14,380.59,378.1,381.13,378.46,49989113.0
5336,2021-01-15,376.72,373.7,377.58,375.7,107159962.0
5337,2021-01-19,378.34,376.75,379.23,378.65,51233300.0
5338,2021-01-20,381.11,380.69,384.79,383.89,61836062.0
5339,2021-01-21,384.49,383.25,384.95,384.24,47955809.0
5340,2021-01-22,382.25,381.835,384.1256,382.88,52136931.0
5341,2021-01-25,383.67,378.46,384.77,384.39,70401971.0
5342,2021-01-26,385.41,383.54,385.85,383.79,42665281.0
5343,2021-01-27,380.22,372.01,380.32,374.41,123351078.0
5344,2021-01-28,376.36,375.89,381.93,377.63,94198104.0
5345,2021-01-29,375.63,368.27,376.67,370.07,126765121.0
5346,2021-02-01,373.72,370.376,377.34,376.23,75817597.0
5347,2021-02-02,379.65,376.3181,383.22,381.55,62923781.0
5348,2021-02-03,382.435,380.48,383.7,381.85,52427090.0
5349,2021-02-04,382.96,381.9655,386.24,386.19,47142555.0
5350,2021-02-05,388.2,386.1444,388.47,387.71,48669773.0
5351,2021-02-08,389.27,388.35,390.56,390.51,38365185.0
5352,2021-02-09,389.61,389.17,390.89,390.25,34142633.0
5353,2021-02-10,392.12,387.5,392.28,390.08,58362935.0
5354,2021-02-11,391.24,388.1,391.69,390.71,42913288.0
5355,2021-02-12,389.85,389.77,392.9,392.64,50593270.0
5356,2021-02-16,393.96,391.53,394.17,392.3,50972366.0
5357,2021-02-17,390.42,389.33,392.66,392.39,51746878.0
5358,2021-02-18,389.59,387.74,391.515,390.72,59712773.0
5359,2021-02-19,392.07,389.55,392.38,390.03,83240971.0
5360,2021-02-22,387.06,386.74,389.62,387.03,66517089.0
5361,2021-02-23,384.66,380.2,388.945,387.5,107284127.0
5362,2021-02-24,386.33,385.27,392.23,391.77,72433946.0
5363,2021-02-25,390.41,380.7789,391.88,382.33,144712701.0
5364,2021-02-26,384.35,378.23,385.58,380.36,149530614.0
5365,2021-03-01,385.59,380.572,390.92,389.58,105348798.0
5366,2021-03-02,389.82,386.0,390.07,386.54,79595332.0
5367,2021-03-03,385.79,381.31,386.83,381.42,119940211.0
5368,2021-03-04,381.22,371.88,384.0,376.7,183433020.0
5369,2021-03-05,380.46,372.64,384.76,383.63,152039624.0
5370,2021-03-08,384.66,381.42,387.68,381.72,123149245.0
5371,2021-03-09,385.85,381.7299,389.91,387.17,113633556.0
5372,2021-03-10,389.69,388.1702,391.4,389.58,109899410.0
5373,2021-03-11,392.23,391.74,395.65,393.53,86245040.0
5374,2021-03-12,392.07,391.2,394.21,394.06,64653565.0
5375,2021-03-15,394.33,392.03,396.685,396.41,73592302.0
5376,2021-03-16,397.07,395.08,397.83,395.91,73722506.0
5377,2021-03-17,394.53,393.3,398.12,397.26,97959265.0
5378,2021-03-18,394.475,390.75,396.72,391.48,115349101.0
5379,2021-03-19,389.88,387.15,391.569,389.48,113624490.0
5380,2021-03-22,390.03,389.97,394.07,392.59,73778646.0
5381,2021-03-23,391.91,388.66,393.46,389.5,90686552.0
5382,2021-03-24,391.0,387.47,392.75,387.52,97588644.0
5383,2021-03-25,385.98,383.9,390.55,389.7,116128622.0
5384,2021-03-26,390.93,390.29,396.41,395.98,114409114.0
5385,2021-03-29,394.4,392.81,396.75,395.78,108107626.0
5386,2021-03-30,394.42,393.02,395.45,394.73,76262249.0
5387,2021-03-31,395.34,395.31,398.0,396.33,112734214.0
5388,2021-04-01,398.4,398.18,400.67,400.61,99682876.0
5389,2021-04-05,403.46,403.38,406.94,406.36,91684764.0
5390,2021-04-06,405.76,405.4,407.24,406.12,62020953.0
5391,2021-04-07,405.94,405.45,406.96,406.59,55836280.0
5392,2021-04-08,407.93,406.93,408.58,408.52,57863114.0
5393,2021-04-09,408.39,408.26,411.67,411.49,61104559.0
5394,2021-04-12,410.85,410.2,411.93,411.64,56704899.0
5395,2021-04-13,411.53,411.12,413.529,412.86,56550988.0
5396,2021-04-14,412.83,410.87,413.96,411.45,61659907.0
5397,2021-04-15,413.74,413.69,416.16,415.87,60229842.0
5398,2021-04-16,417.25,415.73,417.91,417.26,82037278.0
5399,2021-04-19,416.26,413.79,416.74,415.21,78498496.0
5400,2021-04-20,413.91,410.59,415.0859,412.17,81851828.0
5401,2021-04-21,411.51,411.36,416.29,416.07,66792983.0
5402,2021-04-22,415.89,411.13,416.78,412.27,97582788.0
5403,2021-04-23,412.87,412.79,418.25,416.74,73276195.0
5404,2021-04-26,417.44,416.8111,418.22,417.61,52182392.0
5405,2021-04-27,417.93,416.3,418.14,417.52,51303056.0
5406,2021-04-28,417.81,416.9,419.01,417.4,51238854.0
5407,2021-04-29,420.32,416.44,420.72,420.06,78544329.0
5408,2021-04-30,417.63,416.34,418.54,417.3,85527030.0
5409,2021-05-03,419.43,417.665,419.84,418.2,68128289.0
5410,2021-05-04,416.07,411.67,416.6,415.62,101591166.0
5411,2021-05-05,417.38,415.15,417.63,415.75,39960661.0
5412,2021-05-06,415.83,413.675,419.21,419.07,74321368.0
5413,2021-05-07,419.89,419.16,422.815,422.12,67733790.0
5414,2021-05-10,422.5,417.81,422.74,417.94,81852446.0
5415,2021-05-11,413.1,410.06,415.27,414.21,116887975.0
5416,2021-05-12,411.23,404.0,412.59,405.41,134811046.0
5417,2021-05-13,407.07,407.02,412.35,410.28,106393963.0
5418,2021-05-14,413.21,413.18,417.49,416.58,82201629.0
5419,2021-05-17,415.39,413.36,416.39,415.52,65129221.0
5420,2021-05-18,415.8,411.77,416.06,411.94,59810238.0
5421,2021-05-19,406.92,405.33,411.05,410.86,106467052.0
5422,2021-05-20,411.8,411.67,416.625,415.28,78022218.0
5423,2021-05-21,416.87,414.45,418.2,414.94,76578662.0
5424,2021-05-24,417.34,417.08,420.32,419.17,51376702.0
5425,2021-05-25,420.33,417.62,420.71,418.24,57451396.0
5426,2021-05-26,418.87,417.76,419.61,419.07,43088618.0
5427,2021-05-27,420.17,418.9851,420.72,419.29,56707677.0
5428,2021-05-28,420.97,419.79,421.25,420.04,58520164.0
5429,2021-06-01,422.57,419.2,422.72,419.67,54216625.0
5430,2021-06-02,420.37,419.29,421.23,420.33,49097061.0
5431,2021-06-03,417.85,416.28,419.99,418.77,58138763.0
5432,2021-06-04,420.75,418.8422,422.92,422.6,55938789.0
5433,2021-06-07,422.59,421.19,422.78,422.19,51555032.0
5434,2021-06-08,423.11,420.32,423.21,422.28,47134279.0
5435,2021-06-09,423.18,421.41,423.26,421.65,48436342.0
5436,2021-06-10,422.96,421.55,424.63,423.61,51020147.0
5437,2021-06-11,424.2,422.82,424.43,424.31,45570828.0
5438,2021-06-14,424.43,423.1,425.37,425.26,42358478.0
5439,2021-06-15,425.42,423.54,425.46,424.48,51508508.0
5440,2021-06-16,424.63,419.92,424.87,422.11,79250069.0
5441,2021-06-17,421.67,419.32,423.02,421.97,90949659.0
5442,2021-06-18,417.09,414.7,417.8281,414.92,118676302.0
5443,2021-06-21,416.8,415.93,421.06,420.86,72822028.0
5444,2021-06-22,420.85,420.08,424.0,423.11,57700303.0
5445,2021-06-23,423.19,422.51,424.05,422.6,49445414.0
5446,2021-06-24,424.89,424.62,425.55,425.1,45110288.0
5447,2021-06-25,425.9,425.55,427.0943,426.61,58129525.0
5448,2021-06-28,427.17,425.89,427.65,427.47,53159581.0
5449,2021-06-29,427.88,427.13,428.56,427.7,35970515.0
5450,2021-06-30,427.21,427.18,428.78,428.06,64827858.0
5451,2021-07-01,428.87,428.8,430.6,430.43,53441027.0
5452,2021-07-02,431.67,430.5218,434.1,433.72,57697668.0
5453,2021-07-06,433.78,430.01,434.01,432.93,68710419.0
5454,2021-07-07,433.66,431.51,434.76,434.46,63549456.0
5455,2021-07-08,428.78,427.52,431.73,430.92,97595232.0
5456,2021-07-09,432.53,430.714,435.84,435.52,76238584.0
5457,2021-07-12,435.43,434.97,437.35,437.08,52889585.0
5458,2021-07-13,436.24,435.31,437.84,435.59,52911312.0
5459,2021-07-14,437.4,434.91,437.92,436.24,64130352.0
5460,2021-07-15,434.81,432.72,435.53,434.75,55126358.0
5461,2021-07-16,436.01,430.92,436.06,431.34,75874662.0
5462,2021-07-19,426.19,421.97,431.4089,424.97,147987000.0
5463,2021-07-20,425.68,424.83,432.42,431.06,99608174.0
5464,2021-07-21,432.34,431.0111,434.7,434.55,64724389.0
5465,2021-07-22,434.74,433.69,435.72,435.46,47878539.0
5466,2021-07-23,437.52,436.79,440.3,439.94,63766637.0
5467,2021-07-26,439.31,439.26,441.03,441.02,43719187.0
5468,2021-07-27,439.91,435.99,439.94,439.01,67397137.0
5469,2021-07-28,439.68,437.31,440.3,438.83,52472360.0
5470,2021-07-29,439.815,439.81,441.8,440.65,45910298.0
5471,2021-07-30,437.91,437.77,440.06,438.51,68951202.0
5472,2021-08-02,440.34,437.21,440.93,437.59,58783297.0
5473,2021-08-03,438.44,436.1,441.28,441.15,58053896.0
5474,2021-08-04,439.78,438.73,441.1243,438.98,46732212.0
5475,2021-08-05,440.22,439.88,441.85,441.76,38969659.0
5476,2021-08-06,442.1,441.8,442.94,442.49,46930008.0
5477,2021-08-09,442.46,441.31,442.795,442.13,41222585.0
5478,2021-08-10,442.61,441.88,443.44,442.68,43339275.0
5479,2021-08-11,443.82,442.62,443.882,443.78,44034340.0
5480,2021-08-12,443.62,442.66,445.2572,445.11,38942418.0
5481,2021-08-13,445.59,445.07,445.94,445.92,38673164.0
5482,2021-08-16,444.53,442.87,447.11,446.97,73930864.0
5483,2021-08-17,444.24,440.85,444.96,444.04,92673933.0
5484,2021-08-18,442.96,438.92,444.625,439.18,89351931.0
5485,2021-08-19,436.27,436.12,441.14,439.86,92812246.0
5486,2021-08-20,440.23,439.71,443.71,443.36,72008712.0
5487,2021-08-23,445.16,443.4355,448.23,447.26,54973038.0
5488,2021-08-24,447.97,447.42,448.54,447.97,38744714.0
5489,2021-08-25,448.17,447.77,449.457,448.91,40529711.0
5490,2021-08-26,448.61,446.16,448.86,446.26,57829572.0
5491,2021-08-27,447.12,447.06,450.65,450.25,77235113.0
5492,2021-08-30,450.97,450.71,453.07,452.23,48357355.0
5493,2021-08-31,452.13,450.92,452.49,451.56,59300213.0
5494,2021-09-01,452.56,451.545,453.11,451.8,48721378.0
5495,2021-09-02,453.32,451.91,454.05,453.19,42830867.0
5496,2021-09-03,451.98,451.55,453.63,453.08,47234364.0
5497,2021-09-07,452.71,450.7423,452.81,451.46,51671534.0
5498,2021-09-08,450.89,448.86,451.67,450.91,56181907.0
5499,2021-09-09,450.7,448.72,452.57,448.98,57970407.0
5500,2021-09-10,451.04,445.31,451.49,445.44,89948174.0
5501,2021-09-13,448.64,444.11,448.92,446.58,83738649.0
5502,2021-09-14,448.12,443.22,448.34,444.17,78197140.0
5503,2021-09-15,444.62,443.44,448.41,447.88,78792222.0
5504,2021-09-16,447.32,444.02,448.36,447.17,77786735.0
5505,2021-09-17,444.92,441.02,445.37,441.4,118425037.0
5506,2021-09-20,434.88,428.86,436.56,434.04,166445534.0
5507,2021-09-21,436.53,433.07,437.91,433.63,92526112.0
5508,2021-09-22,436.05,433.747,440.03,437.86,102350143.0
5509,2021-09-23,439.85,439.6,444.89,443.18,76395981.0
5510,2021-09-24,441.44,441.21,444.67,443.91,62094837.0
5511,2021-09-27,442.81,441.9,444.05,442.64,61371108.0
5512,2021-09-28,439.69,432.94,440.04,433.72,130436306.0
5513,2021-09-29,435.19,433.85,437.04,434.45,82329213.0
5514,2021-09-30,436.02,428.78,436.77,429.14,140505979.0
5515,2021-10-01,430.98,427.23,436.0329,434.24,129240106.0
5516,2021-10-04,433.0,426.36,433.96,428.64,128569957.0
5517,2021-10-05,430.24,429.39,435.49,433.1,90682520.0
5518,2021-10-06,429.27,427.54,435.1199,434.9,113032245.0
5519,2021-10-07,438.39,438.2,441.68,438.66,72437499.0
5520,2021-10-08,439.48,437.19,439.89,437.86,74557404.0
5521,2021-10-11,437.16,434.62,440.26,434.69,65233285.0
5522,2021-10-12,435.67,432.78,436.1,433.62,71181163.0
5523,2021-10-13,434.71,431.54,436.05,435.18,72973979.0
5524,2021-10-14,439.08,438.58,442.66,442.5,70236825.0
5525,2021-10-15,444.75,444.09,446.26,445.87,66260210.0
